numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
177;15;246349942;Vela Perfumada Limão Yuzu e Pimenta Rosa Masterchef 170g Dani Fernandes;R$211,90;Disponivel;1;VELA MC/170;https://danifernandes.com.br/produtos/vela-perfumada-masterchef-170g/
178;15;316863190;Vela Perfumada 90g e Apagador Hortênsias & Segredos | Dani Fernandes & Bridgerton;R$224,90;Disponivel;1;KITVELA/B3/90;https://danifernandes.com.br/produtos/vela-perfumada-90g-e-apagador-hortensias-segredos-dani-fernandes-bridgerton-1j1p5/
179;15;316827766;Aromatizador de Ambiente Home Spray Hortênsias & Segredos 70ml | Dani Fernandes & Bridgerton;R$244,90;Disponivel;1;SPRAY/B3/70;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-hortensias-segredos-70ml-dani-fernandes-bridgerton-zjg9k/
180;15;316569010;Aromatizador de Ambiente Home Spray Laranjas & Realeza 70ml | Dani Fernandes & Bridgerton;R$244,90;Disponivel;1;SPRAY/B2/70;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-laranjas-realeza-70ml-dani-fernandes-bridgerton-kdkv4/
181;16;246350081;Sabonetes Cremosos Raízes do Brasil 120g Com Potiche Dani Fernandes;R$209,90;Disponivel;1;SAB 33/KIT/15;https://danifernandes.com.br/produtos/sabonetes-cremosos-raizes-do-brasil-120-g-com-potiche/
182;16;316849151;Lenço Perfumado e Home Spray 25ml Hortênsias & Segredos | Dani Fernandes & Bridgerton;R$276,90;Disponivel;1;KIT/B3/L/SPRAY;https://danifernandes.com.br/produtos/lenco-perfumado-e-home-spray-25ml-hortensias-segredos-dani-fernandes-bridgerton-1k0ba/
183;16;249333823;Vela Perfumada Aroma Flor de Figo 170g Dani Fernandes;R$204,90;Disponivel;1;VELA 13/170;https://danifernandes.com.br/produtos/velas-vela-perfumada-aroma-flor-de-figo-170g/
184;16;246350113;Óleo Difusor De Aromas Romã 500ml Jardim Secreto Dani Fernandes;R$549,90;Disponivel;1;DIF 25/500;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-roma-500-ml/
185;16;246350112;Óleo Difusor De Aromas Verbena e Limão Siciliano 500ml Jardim Secreto Dani Fernandes;R$549,90;Disponivel;1;DIF 27/500;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-verbena-e-limao-siciliano-500-ml/
186;16;246350104;Kit Sala de Jantar Bergamota Italiana e Ervas Finas Masterchef - Difusor de Varetas e Vela Perfumada;R$421,80;Disponivel;1;1037;https://danifernandes.com.br/produtos/kit-sala-de-jantar-bergamota-italiana-e-ervas-finas-masterchef-avental/
187;16;287831317;Sabonete em Barra Velvet Cherry 270g - 3 unid;R$186,90;Disponivel;1;SAB 35/KIT3;https://danifernandes.com.br/produtos/sabonete-em-barra-velvet-cherry-270g-3-unid-ez7lm/
188;16;266310482;Vela Perfumada Orquidea 170 g Dani Fernandes;R$204,90;Disponivel;1;VELA/20/170;https://danifernandes.com.br/produtos/home-velas-vela-perfumada-orquidea-170-g-dani-fernandes/
189;16;246350101;Kit Cozinha para Mim Bergamota Italiana e Ervas Finas Masterchef;R$336,80;Disponivel;1;1035;https://danifernandes.com.br/produtos/kit-cozinha-para-mim-bergamota-italiana-e-ervas-finas-masterchef-avental/
190;16;316745055;Vela Perfumada 90g e Apagador Laranjas & Realeza | Dani Fernandes & Bridgerton;R$224,90;Disponivel;1;KITVELA/B2/90;https://danifernandes.com.br/produtos/vela-perfumada-90g-e-apagador-laranjas-realeza-dani-fernandes-bridgerton-kzosn/
191;16;249332797;Vela Perfumada Aroma Romã 170g | Dani Fernandes;R$204,90;Disponivel;1;VELA 25/170;https://danifernandes.com.br/produtos/velas-vela-perfumada-aroma-roma-170g/
192;16;246349903;Sabonete Líquido com Glitter Alecrim 120ml Dani Fernandes;R$128,90;Disponivel;1;SAB 24/120;https://danifernandes.com.br/produtos/novo-sabonete-glitter-alecrim-120ml/
193;17;246349881;Sabonete Líquido com Glitter Alecrim 250ml Dani Fernandes;R$152,90;Disponivel;1;SAB 24SG/250;https://danifernandes.com.br/produtos/sabonete-liquido-com-glitter-alecrim-250ml-dani-fernandes/
194;17;246349796;Sabonete em Barra Verbena e Limão Siciliano 200g;R$89,90;Disponivel;1;SAB 27/B/200;https://danifernandes.com.br/produtos/sabonete-em-barra-verb-e-lim-sic-200g/
195;17;246349652;Sabonete Líquido L'amour de Soi 300ml Dani Fernandes;R$109,90;Disponivel;1;SAB 31/300;https://danifernandes.com.br/produtos/sabonete-liquido-l-amour-de-soi-300ml/
196;17;316724615;Kit Gesso Perfumado e Home Spray 25ml Laranjas & Realeza | Dani Fernandes & Bridgerton;R$178,90;Disponivel;1;KIT/B2/G/SPRAY;https://danifernandes.com.br/produtos/kit-gesso-perfumado-e-home-spray-25ml-laranjas-realeza-dani-fernandes-bridgerton-g0gwk/
197;17;266499200;Óleo Difusor de Aromas C/01 250ml Cimples by Carolina Ferraz e Dani Fernandes;R$234,90;Disponivel;1;DIF C/01/250;https://danifernandes.com.br/produtos/pre-venda-oleo-difusor-de-aromas-c-01-250ml-cimples-by-carolina-ferraz-e-dani-fernandes2/
198;17;249079855;Sabonete Líquido com Glitter Cravo e Canela 250ml Dani Fernandes;R$152,90;Disponivel;1;SAB 05/GLIT/250;https://danifernandes.com.br/produtos/meu-aroma-casa-sabonetes-sabonete-liquido-glitter-cravo-e-canela-250ml/
199;17;246350042;Difusor e Sabonete Líquido Romã 120ml Dani Fernandes;R$257,80;Disponivel;1;959;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-roma-120-ml-dani-fernandes-959/
200;17;246349767;Sabonete Liquido Verão 250ml;R$152,90;Disponivel;1;SAB 28/250;https://danifernandes.com.br/produtos/sabonete-liquido-verao-250ml/
201;17;246350107;Kit Varanda Gourmet Bergamota Italiana e Ervas Finas Masterchef;R$546,70;Disponivel;1;1039;https://danifernandes.com.br/produtos/kit-varanda-gourmet-bergamota-italiana-e-ervas-finas-masterchef-avental/
202;17;246350098;Kit Cozinha Completa Bergamota Italiana e Ervas Finas Masterchef;R$758,60;Disponivel;1;1033;https://danifernandes.com.br/produtos/kit-cozinha-completa-bergamota-italiana-e-ervas-finas-masterchef-avental/
203;17;246350004;Difusor e Sabonete Líquido Alecrim 120ml Dani Fernandes;R$257,80;Disponivel;1;919;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-alecrim-120-ml-dani-fernandes-919/
204;17;347274529;Sabonete Líquido Tênue 350ml | Dani Fernandes;R$104,90;Disponivel;1;SAB 01/350;https://danifernandes.com.br/produtos/sabonete-liquido-tenue-350ml-dani-fernandes-1qe21/
205;18;316482242;Kit Wax Melt com Difusor Elétrico Peônias & Chás | Dani Fernandes & Bridgerton;R$319,90;Disponivel;1;KITCERA/B1/50;https://danifernandes.com.br/produtos/kit-wax-melt-com-difusor-eletrico-peonias-chas-dani-fernandes-bridgerton-a8u4e/
206;18;316422491;Kit Lenço Perfumado e Home Spray 25ml Peônias e Chás | Dani Fernandes & Bridgerton;R$276,90;Disponivel;1;KIT/B1/L/SPRAY;https://danifernandes.com.br/produtos/kit-lenco-perfumado-e-home-spray-25ml-peonias-e-chas-dani-fernandes-bridgerton-7olzy/
207;18;280623766;Sabonete Líquido Verbena e Limão Siciliano 120ml | Dani Fernandes;R$128,90;Disponivel;1;SAB 27/GLIT/120;https://danifernandes.com.br/produtos/sabonete-liquido-verbena-e-limao-siciliano-120ml-dani-fernandes/
208;18;246350089;Refil Sabonetes Cremosos Raízes do Brasil 120g Dani Fernandes;R$91,90;Disponivel;1;SAB 33/15;https://danifernandes.com.br/produtos/refil-sabonetes-cremosos-raizes-do-brasil-120-g/
209;18;246349832;Sabonete em Barra Romã 200g;R$89,90;Disponivel;1;SAB 25/B/200;https://danifernandes.com.br/produtos/sabonete-em-barra-roma-200-g/
210;18;316858270;Kit Wax Melt com Difusor Elétrico Hortênsias & Segredos | Dani Fernandes & Bridgerton;R$319,90;Disponivel;1;KITCERA/B3/50;https://danifernandes.com.br/produtos/kit-wax-melt-com-difusor-eletrico-hortensias-segredos-dani-fernandes-bridgerton-wt0le/
211;18;316730893;Kit Lenço Perfumado e Home Spray 25ml Laranjas & Realeza | Dani Fernandes & Bridgerton;R$276,90;Disponivel;1;KIT/B2/L/SPRAY;https://danifernandes.com.br/produtos/kit-lenco-perfumado-e-home-spray-25ml-laranjas-realeza-dani-fernandes-bridgerton-iofmj/
212;18;267138546;Difusor + Sabonete Líquido + Bandeja C/01 Cimples by Carolina Ferraz | Dani Fernandes;R$505,90;Disponivel;1;kit/c01/02;https://danifernandes.com.br/produtos/pre-venda-oleo-difusor-de-aromas-c-01-250ml-cimples-by-carolina-ferraz-e-dani-fernandes/
213;18;249315273;Sabonete Liquido Vanilla 250ml Dani Fernandes;R$152,90;Disponivel;1;SAB 07SG/250;https://danifernandes.com.br/produtos/sabonetes-sabonete-liquido-vanilla-250ml/
214;18;246350137;Kit Caneca e Vela Masterchef Limão Yuzu e Pimenta Rosa Dani Fernandes;R$149,90;Disponivel;1;KITVELA/MC;https://danifernandes.com.br/produtos/kit-caneca-e-vela-masterchef-limao-yuzu-e-pimenta-rosa-dani-fernandes/
215;18;246349866;Sabonete Liquido Baby 250ml Dani Fernandes;R$152,90;Disponivel;1;SABC 08/250;https://danifernandes.com.br/produtos/sabonete-liquido-baby-250ml-dani-fernandes/
216;18;246349691;Sabonete Líquido Romã 120ml Dani Fernandes;R$128,90;Disponivel;1;SAB 25/120;https://danifernandes.com.br/produtos/sabonete-liquido-roma-120ml-dani-fernandes/
217;19;336423818;Água Perfumada + Toalha Bordada + Embalagem para Presente Flor de Figo | Dani Fernandes;R$195,80;Disponivel;1;kit/13/05;https://danifernandes.com.br/produtos/agua-perfumada-toalha-bordada-embalagem-para-presente-flor-de-figo-dani-fernandes-fxy6y/
218;19;316734982;Kit Wax Melt com Difusor Elétrico Laranjas & Realeza | Dani Fernandes & Bridgerton;R$319,90;Disponivel;1;KITCERA/B2/50;https://danifernandes.com.br/produtos/kit-wax-melt-com-difusor-eletrico-laranjas-realeza-dani-fernandes-bridgerton-tpz96/
219;19;246349686;Sabonete Líquido Romã 700ml Dani Fernandes;R$341,90;Disponivel;1;SAB 25/700;https://danifernandes.com.br/produtos/sabonete-liquido-roma-700-ml/
220;19;347274528;Sabonete Líquido Flor de Figo 350ml | Dani Fernandes;R$104,90;Disponivel;1;SAB 13/350;https://danifernandes.com.br/produtos/sabonete-liquido-flor-de-figo-350ml-dani-fernandes-cqhw6/
221;19;336567682;"Difusor + Sabonete Líquido + Bandeja + Embalagem de Presente Mini Rosas ""Mãe"" | Dani Fernandes";R$564,90;Disponivel;1;kit/01/06;https://danifernandes.com.br/produtos/difusor-sabonete-liquido-bandeja-embalagem-de-presente-mini-rosas-mae-dani-fernandes-1rzet/
222;19;336448657;Água Perfumada + Toalha Bordada + Embalagem para Presente Tênue | Dani Fernandes;R$195,80;Disponivel;1;kit/01/04;https://danifernandes.com.br/produtos/agua-perfumada-toalha-bordada-embalagem-para-presente-tenue-dani-fernandes-1y807/
223;19;309395057;Difusor + Sabonete + Home Spray e Vela Romã com Embalagem de Presente | Dani Fernandes;R$701,60;Disponivel;1;KIT25-6;https://danifernandes.com.br/produtos/difusor-sabonete-home-spray-e-vela-roma-com-embalagem-de-presente-dani-fernandes-5u2s6/
224;19;308930171;Difusor + Sabonete + Home Spray Baby | Dani Fernandes;R$443,70;Disponivel;1;KIT08-2;https://danifernandes.com.br/produtos/difusor-sabonete-home-spray-baby-dani-fernandes-1hrh8/
225;19;266510372;Sabone Líquido C/01 250ml Cimples by Carolina Ferraz e Dani Fernandes;R$204,90;Disponivel;1;SAB C/01/250;https://danifernandes.com.br/produtos/pre-venda-sabone-liquido-c-01-250ml-cimples-by-carolina-ferraz-e-dani-fernandes/
226;19;347274494;Vela Perfumada Velvet Cherry 800g | Dani Fernandes;R$719,90;Disponivel;1;VELA 35/800;https://danifernandes.com.br/produtos/vela-perfumada-velvet-cherry-800g-dani-fernandes-1kltb/
227;19;347274492;Vela Perfumada Tênue 800g | Dani Fernandes;R$719,90;Disponivel;1;VELA 01/800;https://danifernandes.com.br/produtos/vela-perfumada-tenue-800g-dani-fernandes-arr4b/
228;19;347274491;Vela Perfumada Flor De Figo 800g | Dani Fernandes;R$719,90;Disponivel;1;VELA 13/800;https://danifernandes.com.br/produtos/vela-perfumada-flor-de-figo-800g-dani-fernandes-1fa2u/
229;20;342296212;Água Perfumada + Toalha Bordada e Embalagem para Presente Velvet Cherry 510ml | Dani Fernandes;R$189,80;Disponivel;1;KIT/35/04;https://danifernandes.com.br/produtos/agua-perfumada-toalha-bordada-e-embalagem-para-presente-velvet-cherry-510ml-dani-fernandes-1k3hy/
230;20;342288581;Body Splash + Loção Perfumada + Sabonete Líquido + Toalha Bordada e Embalagem para Presente L'amour de Soi | Dani Fernan;R$497,60;Disponivel;1;kit/31/01;https://danifernandes.com.br/produtos/body-splash-locao-perfumada-sabonete-liquido-toalha-bordada-e-embalagem-para-presente-lamour-de-soi-dani-fernan-163u7/
231;20;341415873;Sabonete Espumador + Vela + Bandeja + Toalha Bordada Verbena e Limão Siciliano com Embalagem de Presente | Dani Fern;R$745,60;Disponivel;1;kit27/04;https://danifernandes.com.br/produtos/sabonete-espumador-vela-bandeja-toalha-bordada-verbena-e-limao-siciliano-com-embalagem-de-presente-dani-fern-51z2j/
232;20;341371006;Difusor + Sabonete Líquido + Toalha Bordada Flor de Algodão com Embalagem de Presente 350ml | Dani Fernandes;R$468,70;Disponivel;1;kit/26/01;https://danifernandes.com.br/produtos/difusor-sabonete-liquido-toalha-bordada-flor-de-algodao-com-embalagem-de-presente-350ml-dani-fernandes-16uov/
233;20;340557308;Caderno Perfumado 160 Folhas + Sabonete em Barra Flor de Figo 2 unid | Dani Fernandes;R$245,80;Disponivel;1;KIT/13/07;https://danifernandes.com.br/produtos/caderno-perfumado-160-folhas-sabonete-em-barra-flor-de-figo-2-unid-dani-fernandes-a8hqz/
234;20;336992731;Água Perfumada + Toalha Bordada + Embalagem de Presente Hortênsias e Segredos | Dani Fernandes & Bridgerton;R$206,80;Disponivel;1;kit/b3/02;https://danifernandes.com.br/produtos/agua-perfumada-toalha-bordada-embalagem-de-presente-hortensias-e-segredos-dani-fernandes-bridgerton-1h94a/
235;20;336936581;Difusor + Sabonete Líquido + Toalha Bordada Mãe Querida Flor de Algodão | Dani Fernandes;R$484,70;Disponivel;1;kit/26mq/01;https://danifernandes.com.br/produtos/difusor-sabonete-liquido-toalha-bordada-mae-querida-flor-de-algodao-dani-fernandes-1fhbe/
236;20;336872461;Difusor + Sabonete Líquido + Toalha Bordada + Embalagem de Presente Velvet Cherry | Dani Fernandes;R$515,70;Disponivel;1;kit/35/3;https://danifernandes.com.br/produtos/difusor-sabonete-liquido-toalha-bordada-embalagem-de-presente-velvet-cherry-dani-fernandes-c7vq1/
237;20;336436444;Água Perfumada + Toalha Bordada + Embalagem para Presente Romã | Dani Fernandes;R$195,80;Disponivel;1;kit/25/04;https://danifernandes.com.br/produtos/agua-perfumada-toalha-bordada-embalagem-para-presente-roma-dani-fernandes-75z29/
238;20;309392349;Difusor + Sabonete e Home Spray Romã com Embalagem de Presente | Dani Fernandes;R$496,70;Disponivel;1;KIT25-5;https://danifernandes.com.br/produtos/difusor-sabonete-e-home-spray-roma-com-embalagem-de-presente-dani-fernandes-tt21w/
239;20;309386499;Difusor + Sabonete + Home Spray e Vela Orquídea com Embalagem de Presente | Dani Fernandes;R$710,60;Disponivel;1;KIT20-3;https://danifernandes.com.br/produtos/difusor-sabonete-home-spray-e-vela-orquidea-com-embalagem-de-presente-dani-fernandes-ej7vo/
240;20;309383456;Difusor + Sabonete + Home Spray Orquídea com Embalagem de Presente | Dani Fernandes;R$504,70;Disponivel;1;KIT20-2;https://danifernandes.com.br/produtos/difusor-sabonete-home-spray-orquidea-com-embalagem-de-presente-dani-fernandes-hsogn/
241;21;309167534;Difusor + Sabonete e Home Spray Lavanda | Dani Fernandes;R$443,70;Disponivel;1;KIT02-02;https://danifernandes.com.br/produtos/difusor-sabonete-e-home-spray-lavanda-dani-fernandes-mhuuh/
242;21;309165031;Difusor + Sabonete Folhas e Ervas com Embalagem de Presente | Dani Fernandes;R$404,80;Disponivel;1;KIT17-01;https://danifernandes.com.br/produtos/difusor-sabonete-folhas-e-ervas-com-embalagem-de-presente-dani-fernandes-434oi/
243;21;309073681;Difusor + Sabonete Flor de Algodão com Embalagem de Presente | Dani Fernandes;R$368,80;Disponivel;1;KIT26-01;https://danifernandes.com.br/produtos/difusor-sabonete-flor-de-algodao-com-embalagem-de-presente-dani-fernandes-fpeq0/
