numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
84;7;246349653;Body Splash L'amour de Soi 220ml Dani Fernandes;R$147,90;Disponivel;1;BS 31/220;https://danifernandes.com.br/produtos/body-splash-l-amour-de-soi-220ml/
85;8;246349582;Refil 250ml Sabonete Aroma Folhas Verdes;R$73,90;Disponivel;1;REFIL/SAB/04/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-folhas-verdes/
86;8;318604033;Refil de Difusor de Aromas 250ml Peônias & Chás | Dani Fernandes & Bridgerton;R$124,90;Disponivel;1;REFIL/B1/250;https://danifernandes.com.br/produtos/refil-de-difusor-de-aromas-250ml-peonias-chas-dani-fernandes-bridgerton-13238/
87;8;246349985;Sabonete Líquido com Glitter Flor de Figo Mãe Querida 210ml;R$178,90;Disponivel;1;SAB 13/M/210;https://danifernandes.com.br/produtos/sabonete-glitter-flor-de-figo-mae-querida-210-ml-879/
88;8;246349926;Difusor de Aromas Cravo e Canela 250ml Óleo Dani Fernandes;R$157,90;Disponivel;1;DIF 05/250;https://danifernandes.com.br/produtos/difusor-de-aromas-cravo-e-canela-250ml-oleo-dani-fernandes/
89;8;316822776;Difusor de Aromas Hortênsias & Segredos 250ml | Dani Fernandes & Bridgerton;R$226,90;Disponivel;1;DIF/B3/250;https://danifernandes.com.br/produtos/difusor-de-aromas-hortensias-segredos-250ml-dani-fernandes-bridgerton-74xeq/
90;8;246349824;Essência Romã 15ml;R$97,90;Disponivel;1;ES 25/15;https://danifernandes.com.br/produtos/essencia-roma-15-ml/
91;8;316584924;Água Perfumada Laranjas & Realeza 510ml | Dani Fernandes & Bridgerton;R$96,90;Disponivel;1;AP B2/510;https://danifernandes.com.br/produtos/agua-perfumada-laranjas-realeza-510ml-dani-fernandes-bridgerton-rtvrz/
92;8;246350048;Difusor e Sabonete Líquido Tênue 120 ml Dani Fernandes;R$257,80;Disponivel;1;969;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-tenue-120-ml-dani-fernandes-969/
93;8;246349948;Armação de Aço Dourada;R$79,90;Disponivel;1;BAND/DF;https://danifernandes.com.br/produtos/armacao-de-aco/
94;8;246349936;Difusor de Aromas Limão Yuzu e Pimenta Rosa MasterChef Dani Fernandes;R$209,90;Disponivel;1;DIF MC/200;https://danifernandes.com.br/produtos/difusor-de-aromas-limao-yuzu-pimenta-rosa-masterchef-dani-fernandes/
95;8;246349660;Difusor de Aromas Folhas Verdes 250ml Óleo Dani Fernandes;R$157,90;Disponivel;1;DIF 04/250;https://danifernandes.com.br/produtos/difusor-de-aromas-folha-verdes-250ml-oleo/
96;8;246349623;Refil Sabonete Espumador 250ml Aroma Roma;R$73,90;Disponivel;1;REFILSABE/25/250;https://danifernandes.com.br/produtos/refil-sabonete-espumador-250ml-aroma-roma/
97;9;246350014;Difusor e Sabonete Líquido Flor de Algodão 350ml Dani Fernandes;R$352,80;Disponivel;1;933;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-flor-de-algodao-300-ml-dani-fernandes-933/
98;9;316833389;Água Perfumada Hortênsias & Segredos 510ml | Dani Fernandes & Bridgerton;R$96,90;Disponivel;1;AP B3/510;https://danifernandes.com.br/produtos/agua-perfumada-hortensias-segredos-510ml-dani-fernandes-bridgerton-sdlm9/
99;9;246350000;Sabonete Liquido Mini Rosas Tênue 250ml - Branco | Dani Fernandes;R$162,90;Disponivel;2;"SAB 01/250-C; SAB 01/250-CP";https://danifernandes.com.br/produtos/sabonete-liquido-mini-rosas-tenue-250-ml-creme/
100;9;246349689;Difusor de Aromas Romã 120ml Óleo Dani Fernandes;R$128,90;Disponivel;1;DIF 25/120;https://danifernandes.com.br/produtos/difusor-de-aromas-roma-120ml-oleo-dani-fernandes/
101;9;246349669;Sabonete Líquido Orquídea 250ml Dani Fernandes;R$169,90;Disponivel;2;SAB 20/250;https://danifernandes.com.br/produtos/sabonete-liquido-orquidea-250-ml/
102;9;246350065;Difusor de Aromas Bergamota Italiana e Ervas Finas Masterchef 200ml Dani Fernandes;R$209,90;Disponivel;1;DIF MC2/200;https://danifernandes.com.br/produtos/difusor-de-aromas-bergamota-italiana-amp-ervas-finas-masterchef-200-ml/
103;9;246350061;Armação de Aço Prata;R$79,90;Disponivel;1;AG11124;https://danifernandes.com.br/produtos/armacao-de-aco-prata/
104;9;246350049;Difusor e Sabonete Líquido Tênue 210ml Dani Fernandes;R$363,80;Disponivel;1;971;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-tenue-210-ml-dani-fernandes-971/
105;9;246349768;Difusor de Aromas Sagrada Família 250ml óleo;R$172,90;Disponivel;1;DIF 25/N/250;https://danifernandes.com.br/produtos/difusor-de-aromas-sagrada-familia-250ml-oleo/
106;9;246349579;Refil 250ml Sabonete Aroma Lavanda;R$73,90;Disponivel;1;REFIL/SAB/02/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-lavanda/
107;9;246349781;Sabonete Glitter Flor de Algodão Mãe Querida 210ml | Dani Fernandes;R$178,90;Disponivel;1;SAB 26/M/210;https://danifernandes.com.br/produtos/sabonete-glitter-flor-de-algodao-mae-querida-210-ml/
108;9;246349716;Sabonete Liquido Verbena e Alecrim 350ml | Dani Fernandes;R$178,90;Disponivel;2;SAB 11/300;https://danifernandes.com.br/produtos/sabonete-liquido-verbena-e-alecrim-350ml-dani-fernandes-ln66x/
109;10;246349974;Refil 250 ml Sabonete Aroma Maça E Canela;R$73,90;Disponivel;1;REFIL/SAB/21/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-maca-e-canela/
110;10;246349902;Difusor de Aromas Alecrim 120ml Óleo Dani Fernandes;R$128,90;Disponivel;1;DIF 24/120;https://danifernandes.com.br/produtos/novo-difusor-de-aromas-alecrim-120ml-oleo/
111;10;246349886;Sabonete Líquido Tênue 210ml;R$167,90;Disponivel;1;SAB 01/210;https://danifernandes.com.br/produtos/sabonete-liquido-tenue-210ml/
112;10;246350056;Difusor e Sabonete Líquido Verbena e Alecrim 350ml Dani Fernandes;R$378,80;Disponivel;1;981;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-verbena-e-alecrim-300-ml-dani-fernandes-981/
113;10;339267228;Água Perfumada Instituto Paola Tênue 500ml - Renda 100% Revertida em Doações;R$49,90;Disponivel;1;AP 01/IP/500;https://danifernandes.com.br/produtos/agua-perfumada-instituto-paola-tenue-500ml-renda-100-revertida-em-doacoes-kkys8/
114;10;246350017;Difusor e Sabonete Líquido Flor de Figo 120ml Dani Fernandes;R$252,90;Disponivel;1;935;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-flor-de-figo-120-ml-dani-fernandes-935/
115;10;246349793;Sabonete em Barra Flor de Figo 200g | Dani Fernandes;R$89,90;Disponivel;1;SAB 13/B/200;https://danifernandes.com.br/produtos/sabonete-em-barra-flor-de-figo-200-g/
116;10;318604032;Refil de Difusor de Aromas 250ml Laranjas & Realeza | Dani Fernandes & Bridgerton;R$124,90;Disponivel;1;REFIL/B2/250;https://danifernandes.com.br/produtos/refil-de-difusor-de-aromas-250ml-laranjas-realeza-dani-fernandes-bridgerton-16xad/
117;10;246349827;Sabonete Líquido Flor de Figo 700ml | Dani Fernandes;R$341,90;Disponivel;2;SAB 13/700;https://danifernandes.com.br/produtos/sabonete-de-aromas-flor-de-figo-700-ml/
118;10;246349780;Sabonetes em Barra Cremosos 4 unidades de 90g | Dani Fernandes;R$207,90;Disponivel;1;SAB KIT/B/90;https://danifernandes.com.br/produtos/sabonete-cremosos-kit-com-4-unid-90g-cd/
119;10;246349663;Sabonete Líquido Folhas Verdes 250ml Dani Fernandes;R$99,90;Disponivel;1;SAB 04/250;https://danifernandes.com.br/produtos/sabonete-liquido-folhas-verdes-250ml-dani-fernandes/
120;10;246350111;Óleo Difusor de Aromas Flor De Figo 500ml Jardim Secreto Dani Fernandes;R$549,90;Disponivel;1;DIF 13/500;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-flor-de-figo-500-ml/
121;11;246350030;Difusor e Sabonete Líquido Lavanda 250ml Dani Fernandes;R$310,80;Disponivel;1;945;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-lavanda-250-ml-dani-fernandes-945/
122;11;246349722;Sabonete Glitter Sweet 300ml | Dani Fernandes;R$173,90;Disponivel;1;SAB 03/GLIT/300;https://danifernandes.com.br/produtos/sabonete-glitter-sweet-300-ml/
123;11;246349656;Loção Perfumada Desodorante Corporal L'amour de Soi 300ml Dani Fernandes;R$139,90;Disponivel;1;HID 31/300;https://danifernandes.com.br/produtos/locao-perfumada-desodorante-corporal-l-amour-de-soi-300ml/
124;11;246350084;Vela Perfumada Raízes do Brasil 300g;R$228,90;Disponivel;1;VELA 33/300;https://danifernandes.com.br/produtos/vela-perfumada-raizes-do-brasil-300g/
125;11;246350046;Difusor e Sabonete Líquido Sagrada Família 250ml Dani Fernandes;R$327,80;Disponivel;1;965;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-sagrada-familia-250-ml-dani-fernandes-965/
126;11;246349817;Sabonete Espumador Verbena e Limão Siciliano 270ml;R$178,90;Disponivel;1;SAB 27/E/270;https://danifernandes.com.br/produtos/sabonete-espumador-verbena-e-limao-siciliano-270ml/
127;11;246349720;Difusor de Aromas Sweet 300ml Óleo | Dani Fernandes;R$179,90;Disponivel;1;DIF 03/300;https://danifernandes.com.br/produtos/difusor-de-aromas-sweet-300-ml-oleo/
128;11;246349586;Refil 250ml Sabonete Aroma Vanilla;R$73,90;Disponivel;1;REFIL/SAB/07/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-vanilla/
129;11;246349927;Perfume L'amour de Soi 100ml Parfum Dani Fernandes;R$299,90;Disponivel;1;PF 31/100;https://danifernandes.com.br/produtos/parfum-l-amour-de-soi-100ml/
130;11;246350023;Difusor e Sabonete Líquido Flor de Figo 700ml Dani Fernandes;R$726,80;Disponivel;1;939;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-flor-de-figo-700-ml-dani-fernandes-939/
131;11;246349713;Home Spray Lavanda 120ml Dani Fernandes;R$132,90;Disponivel;2;"SPRAY 02/120; SPRAY 02/120P";https://danifernandes.com.br/produtos/home-spray-lavanda-120-ml/
132;11;246349696;Sabonete Líquido Romã 250ml Dani Fernandes;R$157,90;Disponivel;1;SAB 25/250;https://danifernandes.com.br/produtos/sabonete-liquido-roma-250ml-dani-fernandes/
133;12;316839586;Vela Perfumada Hortênsias & Segredos 190g | Dani Fernandes & Bridgerton;R$296,90;Disponivel;1;VELA B3/190;https://danifernandes.com.br/produtos/vela-perfumada-hortensias-segredos-190g-dani-fernandes-bridgerton-wbsxv/
134;12;246350125;Sabonetes em Barra Folhas e Ervas 270g - 3 unid;R$186,90;Disponivel;1;SAB 17/B/KIT3;https://danifernandes.com.br/produtos/sabonete-barra-kit-folhas-e-ervas-270-g-3-unidades/
135;12;246350026;Difusor e Sabonete Líquido Folhas e Ervas 350ml Dani Fernandes;R$388,80;Disponivel;1;941;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-folhas-e-ervas-350-ml-dani-fernandes-941/
136;12;246349648;Kit Body Splash + Sabonete + Loção Perfumada L'amour de Soi Dani Fernandes;R$379,90;Disponivel;1;KIT 31/LAMOUR;https://danifernandes.com.br/produtos/kit-body-splash-sabonete-e-locao-perfumada-l-amour-de-soi/
137;12;246349787;Sabonete em Barra Romã com 2 unidades;R$99,90;Disponivel;1;SAB 25/B/KIT;https://danifernandes.com.br/produtos/sabonete-em-barra-roma-kit-com-2-um/
138;12;246349602;Refil 250ml Sabonete Aroma Sweet Glitter;R$73,90;Disponivel;1;REFILSABG/03/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-sweet-glitter/
139;12;246349599;Refil 250ml Sabonete Aroma Verão;R$73,90;Disponivel;1;REFIL/SAB/28/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-verao/
140;12;246349588;Refil 250ml Sabonete Aroma Baby;R$73,90;Disponivel;1;REFIL/SAB/08/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-baby/
141;12;316527730;Kit Vela Perfumada 90g e Apagador Peônias & Chás | Dani Fernandes & Bridgerton;R$224,90;Disponivel;1;KITVELA/B1/90;https://danifernandes.com.br/produtos/kit-vela-perfumada-90g-e-apagador-peonias-chas-dani-fernandes-bridgerton-wue22/
142;12;249412687;Refil 250 ml Sabonete Aroma Cravo E Canela Glitter;R$73,90;Disponivel;1;REFILSABG/05/250;https://danifernandes.com.br/produtos/sabonetes-refil-250-ml-sabonete-aroma-cravo-e-canela-glitter/
143;12;249332353;Vela Perfumada Aroma Tenue 170g Dani Frenandes;R$204,90;Disponivel;1;VELA 01/170;https://danifernandes.com.br/produtos/velas-vela-perfumada-aroma-tenue-170g/
144;12;246350075;Vela Perfumada Bergamota Italiana e Ervas Finas Masterchef 170g Dani Fernandes;R$211,90;Disponivel;1;VELA MC2/170;https://danifernandes.com.br/produtos/vela-perfumada-bergamota-italiana-amp-ervas-finas-masterchef-170g/
145;13;246349810;Creme para Mãos Verbena e Limão Siciliano 60g;R$69,90;Disponivel;1;HID 27/60;https://danifernandes.com.br/produtos/creme-para-maos-verbena-e-limao-siciliano-60g/
146;13;246349807;Creme para Mãos Romã 60g;R$69,90;Disponivel;1;HID 25/60;https://danifernandes.com.br/produtos/creme-para-maos-roma-60g/
